TreeID,qSpecies,qSiteInfo,Latitude,Longitude
193708,Melaleuca quinquenervia :: Cajeput,Sidewalk: Curb side : Cutout,37.76984949,-122.3959984
17927,Ulmus parvifolia :: Chinese Elm,Sidewalk: Curb side : Cutout,37.78768356,-122.4351991
178719,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.72024975,-122.4261221
235659,Prunus cerasifera :: Cherry Plum,Sidewalk: Curb side : Cutout,37.76876129,-122.4226108
101320,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',Sidewalk: Curb side : Cutout,37.76931504,-122.4315059
201766,Pinus pinea :: Italian Stone Pine,Sidewalk: Property side : Yard,37.71271226,-122.3877442
187474,Tristaniopsis laurina :: Swamp Myrtle,Sidewalk: Curb side : Cutout,37.72815278,-122.431747
175507,Arbutus 'Marina' :: Hybrid Strawberry Tree,Sidewalk: Property side : Yard,37.72939087,-122.4210958
13795,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.78339759,-122.4085601
30362,Pittosporum undulatum :: Victorian Box,Sidewalk: Curb side : Cutout,37.75852471,-122.3981897
125114,Acacia melanoxylon :: Blackwood Acacia,Sidewalk: Curb side : Cutout,37.79095197,-122.4470332
238559,Prunus blireiana :: Flowering Plum,Sidewalk: Curb side : Cutout,37.74687813,-122.4283607
51482,Koelreuteria paniculata :: Golden Rain Tree,Sidewalk: Curb side : Cutout,37.77475199,-122.3945481
134345,Platanus x hispanica :: Sycamore: London Plane,Sidewalk: Curb side : Cutout,37.7817173,-122.4110952
